facility_id,facility_name,address,citytown,state,zip_code,countyparish,telephone_number,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,footnote,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,36360.0,DALE,(334) 774-2601,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,91.0,8.0,1.0,96.0,89.0,10.0,1.0,96.0,,1216.0,340.0,29.0,07/01/2023,06/30/2024
10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116.0,MONTGOMERY,(334) 288-2100,95.0,4.0,1.0,97.0,92.0,6.0,2.0,95.0,84.0,13.0,3.0,94.0,84.0,14.0,2.0,94.0,,4689.0,1416.0,31.0,07/01/2023,06/30/2024
10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106.0,MONTGOMERY,(334) 293-8000,,,,,,,,,,,,,,,,,4,,,,,
10029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801.0,LEE,(334) 749-3411,96.0,4.0,0.0,98.0,90.0,9.0,1.0,94.0,87.0,11.0,2.0,94.0,82.0,17.0,1.0,94.0,,1276.0,319.0,25.0,07/01/2023,06/30/2024
10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233.0,JEFFERSON,(205) 934-4011,,,,,,,,,,,,,,,,,4,,,,,
10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058.0,CULLMAN,(256) 737-2000,97.0,2.0,1.0,98.0,92.0,6.0,2.0,95.0,86.0,12.0,2.0,94.0,75.0,24.0,1.0,91.0,,2230.0,511.0,23.0,07/01/2023,06/30/2024
10036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420.0,COVINGTON,(334) 222-8466,,,,,,,,,,,,,,,,,4,,,,,
10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801.0,MADISON,(256) 265-1000,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,90.0,8.0,2.0,95.0,88.0,11.0,1.0,96.0,,7249.0,1532.0,21.0,07/01/2023,06/30/2024
10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903.0,ETOWAH,(256) 494-4000,,,,,,,,,,,,,,,,,4,,,,,
10044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570.0,MARION,(205) 921-6200,98.0,2.0,0.0,99.0,96.0,3.0,1.0,97.0,95.0,3.0,2.0,97.0,95.0,5.0,0.0,98.0,3,191.0,47.0,25.0,07/01/2023,06/30/2024
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555.0,FAYETTE,(205) 932-5966,98.0,2.0,0.0,99.0,96.0,3.0,1.0,98.0,91.0,8.0,1.0,96.0,91.0,9.0,0.0,97.0,,727.0,221.0,31.0,07/01/2023,06/30/2024
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901.0,ETOWAH,(256) 543-5200,,,,,,,,,,,,,,,,,4,,,,,
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330.0,COFFEE,(334) 347-0584,,,,,,,,,,,,,,,,,4,,,,,
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305.0,HOUSTON,(334) 793-5000,,,,,,,,,,,,,,,,,4,,,,,
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205.0,JEFFERSON,(205) 939-7000,,,,,,,,,,,,,,,,,4,,,,,
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042.0,BIBB,(205) 926-4881,,,,,,,,,,,,,,,,,4,,,,,
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650.0,LAWRENCE,(256) 974-2200,93.0,6.0,1.0,96.0,91.0,9.0,0.0,95.0,57.0,33.0,10.0,88.0,73.0,23.0,4.0,90.0,3,76.0,20.0,26.0,07/01/2023,06/30/2024
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768.0,JACKSON,(256) 259-4444,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,79.0,19.0,2.0,92.0,70.0,27.0,3.0,88.0,,1439.0,331.0,24.0,07/01/2023,06/30/2024
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340.0,GENEVA,(334) 684-3655,98.0,2.0,0.0,99.0,95.0,3.0,2.0,97.0,84.0,14.0,2.0,94.0,88.0,11.0,1.0,95.0,,623.0,142.0,24.0,07/01/2023,06/30/2024
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010.0,TALLAPOOSA,(256) 329-7100,96.0,3.0,1.0,98.0,93.0,6.0,1.0,96.0,83.0,14.0,3.0,93.0,81.0,16.0,3.0,93.0,,2221.0,682.0,32.0,07/01/2023,06/30/2024
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9,ASHLAND,AL,36251.0,CLAY,(256) 354-2131,96.0,4.0,0.0,98.0,94.0,5.0,1.0,96.0,84.0,13.0,3.0,93.0,76.0,22.0,2.0,91.0,,494.0,145.0,30.0,07/01/2023,06/30/2024
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207.0,CALHOUN,(256) 235-5121,,,,,,,,,,,,,,,,,4,,,,,
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611.0,LIMESTONE,(256) 233-9292,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,90.0,9.0,1.0,95.0,89.0,10.0,1.0,95.0,,1581.0,361.0,24.0,07/01/2023,06/30/2024
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535.0,BALDWIN,(251) 949-3400,,,,,,,,,,,,,,,,,4,,,,,
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601.0,MORGAN,(256) 341-2000,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,82.0,15.0,3.0,92.0,77.0,20.0,3.0,91.0,,1484.0,333.0,22.0,07/01/2023,06/30/2024
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594.0,FAYETTE,(205) 487-7736,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,85.0,12.0,3.0,94.0,87.0,13.0,0.0,96.0,,1078.0,246.0,24.0,07/01/2023,06/30/2024
10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617.0,MOBILE,(251) 471-7110,,,,,,,,,,,,,,,,,4,,,,,
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502.0,WALKER,(205) 387-4000,95.0,4.0,1.0,97.0,92.0,7.0,1.0,96.0,83.0,14.0,3.0,93.0,76.0,22.0,2.0,91.0,,1440.0,345.0,24.0,07/01/2023,06/30/2024
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",6801 AIRPORT BOULEVARD,MOBILE,AL,36608.0,MOBILE,(251) 633-1000,,,,,,,,,,,,,,,,,4,,,,,
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451.0,CLARKE,(251) 275-3191,,,,,,,,,,,,,,,,,4,,,,,
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401.0,TUSCALOOSA,(205) 759-7111,96.0,3.0,1.0,98.0,91.0,7.0,2.0,95.0,82.0,16.0,2.0,94.0,82.0,16.0,2.0,93.0,,4952.0,1245.0,26.0,07/01/2023,06/30/2024
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426.0,ESCAMBIA,(251) 867-8061,,,,,,,,,,,,,,,,,4,,,,,
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532.0,BALDWIN,(251) 928-2375,98.0,2.0,0.0,99.0,90.0,8.0,2.0,94.0,82.0,17.0,1.0,94.0,86.0,13.0,1.0,95.0,,762.0,225.0,30.0,07/01/2023,06/30/2024
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35161.0,TALLADEGA,(256) 761-4542,96.0,3.0,1.0,98.0,91.0,6.0,3.0,94.0,82.0,14.0,4.0,92.0,73.0,22.0,5.0,89.0,,956.0,190.0,20.0,07/01/2023,06/30/2024
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211.0,JEFFERSON,(205) 783-3800,95.0,5.0,0.0,98.0,91.0,8.0,1.0,95.0,81.0,15.0,4.0,92.0,71.0,25.0,4.0,88.0,,1491.0,318.0,21.0,07/01/2023,06/30/2024
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243.0,JEFFERSON,(205) 971-1000,,,,,,,,,,,,,,,,,4,,,,,
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067.0,AUTAUGA,(334) 361-4267,97.0,3.0,0.0,99.0,93.0,6.0,1.0,96.0,83.0,16.0,1.0,94.0,87.0,12.0,1.0,95.0,,1000.0,334.0,34.0,07/01/2023,06/30/2024
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732.0,MARENGO,(334) 289-4000,,,,,,,,,,,,,,,,,4,,,,,
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607.0,MOBILE,(251) 435-4700,97.0,2.0,1.0,98.0,94.0,5.0,1.0,97.0,84.0,12.0,4.0,93.0,80.0,17.0,3.0,91.0,,890.0,183.0,21.0,07/01/2023,06/30/2024
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021.0,JEFFERSON,(205) 481-7000,,,,,,,,,,,,,,,,,4,,,,,
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701.0,DALLAS,(334) 418-4100,,,,,,,,,,,,,,,,,4,,,,,
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460.0,MONROE,(251) 575-3111,97.0,3.0,0.0,98.0,94.0,5.0,1.0,96.0,83.0,13.0,4.0,94.0,86.0,14.0,0.0,95.0,,897.0,252.0,29.0,07/01/2023,06/30/2024
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081.0,PIKE,(334) 670-5000,97.0,3.0,0.0,99.0,92.0,7.0,1.0,95.0,83.0,14.0,3.0,94.0,80.0,19.0,1.0,93.0,,1794.0,547.0,31.0,07/01/2023,06/30/2024
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507.0,BALDWIN,(251) 937-5521,97.0,3.0,0.0,98.0,90.0,8.0,2.0,94.0,86.0,10.0,4.0,94.0,79.0,18.0,3.0,92.0,,1162.0,294.0,25.0,07/01/2023,06/30/2024
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125.0,ST. CLAIR,(205) 338-3301,,,,,,,,,,,,,,,,,4,,,,,
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801.0,MADISON,(256) 882-3100,,,,,,,,,,,,,,,,,4,,,,,
10139,BROOKWOOD BAPTIST MEDICAL CENTER,1280 COLUMBIANA ROAD STE 102,VESTAVIA,AL,35216.0,JEFFERSON,(205) 877-1000,95.0,4.0,1.0,97.0,91.0,8.0,1.0,95.0,78.0,18.0,4.0,91.0,77.0,20.0,3.0,91.0,,1891.0,360.0,19.0,07/01/2023,06/30/2024
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608.0,MOBILE,(251) 460-5220,94.0,4.0,2.0,96.0,92.0,6.0,2.0,95.0,82.0,13.0,5.0,93.0,86.0,11.0,3.0,94.0,,762.0,218.0,29.0,07/01/2023,06/30/2024
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117.0,MONTGOMERY,(334) 244-8330,97.0,2.0,1.0,98.0,93.0,5.0,2.0,95.0,87.0,11.0,2.0,95.0,91.0,8.0,1.0,96.0,,2666.0,752.0,29.0,07/01/2023,06/30/2024
10157,NORTH ALABAMA SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661.0,COLBERT,(256) 386-1601,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,88.0,11.0,1.0,95.0,86.0,13.0,1.0,95.0,,1803.0,475.0,27.0,07/01/2023,06/30/2024
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653.0,FRANKLIN,(256) 332-1611,,,,,,,,,,,,,,,,,4,,,,,
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150.0,TALLADEGA,(256) 249-5000,,,,,,,,,,,,,,,,,4,,,,,
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867.0,RUSSELL,(334) 732-3000,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,93.0,5.0,2.0,96.0,93.0,5.0,2.0,97.0,,1296.0,459.0,35.0,07/01/2023,06/30/2024
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502.0,ESCAMBIA,(251) 368-2500,,,,,,,,,,,,,,,,,4,,,,,
13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604.0,MOBILE,(251) 415-1000,,,,,,,,,,,,,,,,,4,,,,,
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508.0,ANCHORAGE,(907) 562-2211,96.0,3.0,1.0,98.0,93.0,6.0,1.0,96.0,86.0,11.0,3.0,93.0,86.0,11.0,3.0,94.0,,1852.0,301.0,18.0,07/01/2023,06/30/2024
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645.0,MATANUSKA-SUSITNA,(907) 861-6000,,,,,,,,,,,,,,,,,4,,,,,
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801.0,JUNEAU,(907) 796-8900,,,,,,,,,,,,,,,,,4,,,,,
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701.0,FAIRBANKS NORTH STAR,(907) 452-8181,,,,,,,,,,,,,,,,,4,,,,,
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508.0,ANCHORAGE,(907) 276-1131,,,,,,,,,,,,,,,,,4,,,,,
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669.0,KENAI PENINSULA,(907) 262-4404,,,,,,,,,,,,,,,,,4,,,,,
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508.0,ANCHORAGE,(907) 729-3971,92.0,7.0,1.0,96.0,90.0,8.0,2.0,94.0,77.0,18.0,5.0,91.0,73.0,23.0,4.0,89.0,,2758.0,338.0,12.0,07/01/2023,06/30/2024
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615.0,KODIAK ISLAND BOROUGH,(907) 486-9592,97.0,3.0,0.0,98.0,95.0,4.0,1.0,97.0,80.0,16.0,4.0,91.0,78.0,21.0,1.0,92.0,3,503.0,84.0,17.0,07/01/2023,06/30/2024
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901.0,KETCHIKAN GATEWAY,(907) 225-5171,,,,,,,,,,,,,,,,,4,,,,,
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006.0,MARICOPA,(602) 839-2000,,,,,,,,,,,,,,,,,4,,,,,
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712.0,PIMA,(520) 324-1399,98.0,2.0,0.0,99.0,95.0,4.0,1.0,97.0,88.0,11.0,1.0,95.0,86.0,13.0,1.0,95.0,,535.0,125.0,28.0,07/01/2023,06/30/2024
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326.0,YAVAPAI,(928) 773-2357,98.0,2.0,0.0,99.0,91.0,7.0,2.0,95.0,79.0,19.0,2.0,92.0,72.0,25.0,3.0,89.0,,1360.0,421.0,31.0,07/01/2023,06/30/2024
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745.0,PIMA,(520) 872-3000,95.0,4.0,1.0,97.0,88.0,10.0,2.0,93.0,75.0,18.0,7.0,90.0,68.0,27.0,5.0,87.0,,1701.0,424.0,25.0,07/01/2023,06/30/2024
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711.0,PIMA,(520) 873-3000,93.0,6.0,1.0,96.0,88.0,9.0,3.0,92.0,77.0,19.0,4.0,91.0,70.0,25.0,5.0,88.0,,1126.0,316.0,28.0,07/01/2023,06/30/2024
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301.0,YAVAPAI,(928) 445-2700,,,,,,,,,,,,,,,,,4,,,,,
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364.0,YUMA,(928) 336-7600,,,,,,,,,,,,,,,,,4,,,,,
30014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020.0,MARICOPA,(602) 331-5862,,,,,,,,,,,,,,,,,4,,,,,
30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122.0,PINAL,(520) 381-6300,,,,,,,,,,,,,,,,,4,,,,,
30022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008.0,MARICOPA,(602) 344-5011,,,,,,,,,,,,,,,,,4,,,,,
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001.0,COCONINO,(928) 779-3366,97.0,2.0,1.0,98.0,90.0,9.0,1.0,94.0,83.0,15.0,2.0,93.0,79.0,19.0,2.0,92.0,,1249.0,276.0,22.0,07/01/2023,06/30/2024
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013.0,MARICOPA,(602) 406-5001,,,,,,,,,,,,,,,,,4,,,,,
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015.0,MARICOPA,(602) 249-0212,96.0,3.0,1.0,97.0,86.0,10.0,4.0,91.0,78.0,17.0,5.0,91.0,72.0,20.0,8.0,87.0,,1897.0,303.0,16.0,07/01/2023,06/30/2024
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224.0,MARICOPA,(480) 728-3000,,,,,,,,,,,,,,,,,4,,,,,
30037,TEMPE ST LUKES HOSPITAL,1500 S MILL AVE,TEMPE,AZ,85282.0,MARICOPA,(480) 784-5566,,,,,,,,,,,,,,,,,4,,,,,
30038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251.0,MARICOPA,(480) 882-4004,,,,,,,,,,,,,,,,,4,,,,,
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635.0,COCHISE,(520) 263-2220,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,86.0,12.0,2.0,94.0,76.0,21.0,3.0,91.0,,1487.0,406.0,27.0,07/01/2023,06/30/2024
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86401.0,MOHAVE,(928) 757-2101,,,,,,,,,,,,,,,,,4,,,,,
30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351.0,MARICOPA,(623) 832-4000,,,,,,,,,,,,,,,,,4,,,,,
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901.0,NAVAJO,(928) 537-4375,96.0,4.0,0.0,98.0,89.0,9.0,2.0,94.0,81.0,16.0,3.0,93.0,74.0,23.0,3.0,90.0,,1828.0,434.0,24.0,07/01/2023,06/30/2024
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85719.0,PIMA,(520) 874-4189,,,,,,,,,,,,,,,,,4,,,,,
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH DOBSON ROAD,MESA,AZ,85202.0,MARICOPA,(480) 412-3000,,,,,,,,,,,,,,,,,4,,,,,
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403.0,MOHAVE,(928) 855-8185,95.0,4.0,1.0,97.0,88.0,9.0,3.0,92.0,77.0,17.0,6.0,90.0,70.0,26.0,4.0,88.0,,1118.0,376.0,34.0,07/01/2023,06/30/2024
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504.0,APACHE,(928) 729-8000,,,,,,,,,,,,,,,,,4,,,,,
