state,measure_id,measure_name,score,footnote,start_date,end_date
AL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.473,,07/01/2023,06/30/2024
AR,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.549,,07/01/2023,06/30/2024
AR,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.779,,07/01/2023,06/30/2024
AR,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.656,,07/01/2023,06/30/2024
AR,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.317,,07/01/2023,06/30/2024
AR,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.470,,07/01/2023,06/30/2024
AR,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.388,,07/01/2023,06/30/2024
AR,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.889,,07/01/2023,06/30/2024
AR,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.311,,07/01/2023,06/30/2024
AR,HAI_3_SIR,SSI - Colon Surgery,1.085,,07/01/2023,06/30/2024
AR,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.465,,07/01/2023,06/30/2024
AR,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.249,,07/01/2023,06/30/2024
AR,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.786,,07/01/2023,06/30/2024
AR,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.774,,07/01/2023,06/30/2024
AR,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,1.142,,07/01/2023,06/30/2024
AR,HAI_5_SIR,MRSA Bacteremia,0.945,,07/01/2023,06/30/2024
AR,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.299,,07/01/2023,06/30/2024
AR,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.384,,07/01/2023,06/30/2024
AR,HAI_6_SIR,Clostridium Difficile (C.Diff),0.340,,07/01/2023,06/30/2024
AS,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5.0,07/01/2023,06/30/2024
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.516,,07/01/2023,06/30/2024
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.673,,07/01/2023,06/30/2024
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.591,,07/01/2023,06/30/2024
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.335,,07/01/2023,06/30/2024
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.454,,07/01/2023,06/30/2024
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.391,,07/01/2023,06/30/2024
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.643,,07/01/2023,06/30/2024
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.881,,07/01/2023,06/30/2024
AZ,HAI_3_SIR,SSI - Colon Surgery,0.755,,07/01/2023,06/30/2024
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.885,,07/01/2023,06/30/2024
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.542,,07/01/2023,06/30/2024
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.179,,07/01/2023,06/30/2024
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.468,,07/01/2023,06/30/2024
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.680,,07/01/2023,06/30/2024
AZ,HAI_5_SIR,MRSA Bacteremia,0.566,,07/01/2023,06/30/2024
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.393,,07/01/2023,06/30/2024
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.454,,07/01/2023,06/30/2024
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.423,,07/01/2023,06/30/2024
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.656,,07/01/2023,06/30/2024
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.735,,07/01/2023,06/30/2024
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.694,,07/01/2023,06/30/2024
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.619,,07/01/2023,06/30/2024
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.691,,07/01/2023,06/30/2024
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.654,,07/01/2023,06/30/2024
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.742,,07/01/2023,06/30/2024
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.866,,07/01/2023,06/30/2024
CA,HAI_3_SIR,SSI - Colon Surgery,0.802,,07/01/2023,06/30/2024
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.104,,07/01/2023,06/30/2024
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.455,,07/01/2023,06/30/2024
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.270,,07/01/2023,06/30/2024
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.612,,07/01/2023,06/30/2024
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.717,,07/01/2023,06/30/2024
CA,HAI_5_SIR,MRSA Bacteremia,0.663,,07/01/2023,06/30/2024
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.442,,07/01/2023,06/30/2024
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.472,,07/01/2023,06/30/2024
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.457,,07/01/2023,06/30/2024
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.483,,07/01/2023,06/30/2024
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.686,,07/01/2023,06/30/2024
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.578,,07/01/2023,06/30/2024
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.424,,07/01/2023,06/30/2024
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.599,,07/01/2023,06/30/2024
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.506,,07/01/2023,06/30/2024
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.967,,07/01/2023,06/30/2024
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.306,,07/01/2023,06/30/2024
CO,HAI_3_SIR,SSI - Colon Surgery,1.127,,07/01/2023,06/30/2024
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.835,,07/01/2023,06/30/2024
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.542,,07/01/2023,06/30/2024
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.148,,07/01/2023,06/30/2024
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.531,,07/01/2023,06/30/2024
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.811,,07/01/2023,06/30/2024
CO,HAI_5_SIR,MRSA Bacteremia,0.660,,07/01/2023,06/30/2024
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.325,,07/01/2023,06/30/2024
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.395,,07/01/2023,06/30/2024
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.359,,07/01/2023,06/30/2024
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.488,,07/01/2023,06/30/2024
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.704,,07/01/2023,06/30/2024
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.589,,07/01/2023,06/30/2024
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.351,,07/01/2023,06/30/2024
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.519,,07/01/2023,06/30/2024
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.429,,07/01/2023,06/30/2024
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.599,,07/01/2023,06/30/2024
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.949,,07/01/2023,06/30/2024
CT,HAI_3_SIR,SSI - Colon Surgery,0.759,,07/01/2023,06/30/2024
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.103,,07/01/2023,06/30/2024
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.166,,07/01/2023,06/30/2024
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.568,,07/01/2023,06/30/2024
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.474,,07/01/2023,06/30/2024
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.766,,07/01/2023,06/30/2024
CT,HAI_5_SIR,MRSA Bacteremia,0.607,,07/01/2023,06/30/2024
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.374,,07/01/2023,06/30/2024
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.461,,07/01/2023,06/30/2024
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.416,,07/01/2023,06/30/2024
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.709,,07/01/2023,06/30/2024
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.126,,07/01/2023,06/30/2024
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.899,,07/01/2023,06/30/2024
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.259,,07/01/2023,06/30/2024
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.504,,07/01/2023,06/30/2024
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.366,,07/01/2023,06/30/2024
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.274,,07/01/2023,06/30/2024
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.788,,07/01/2023,06/30/2024
DC,HAI_3_SIR,SSI - Colon Surgery,0.481,,07/01/2023,06/30/2024
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.573,,07/01/2023,06/30/2024
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.342,,07/01/2023,06/30/2024
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.233,,07/01/2023,06/30/2024
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.493,,07/01/2023,06/30/2024
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.933,,07/01/2023,06/30/2024
DC,HAI_5_SIR,MRSA Bacteremia,0.687,,07/01/2023,06/30/2024
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.333,,07/01/2023,06/30/2024
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.459,,07/01/2023,06/30/2024
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.392,,07/01/2023,06/30/2024
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.361,,07/01/2023,06/30/2024
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.751,,07/01/2023,06/30/2024
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.529,,07/01/2023,06/30/2024
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.358,,07/01/2023,06/30/2024
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.801,,07/01/2023,06/30/2024
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.547,,07/01/2023,06/30/2024
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.730,,07/01/2023,06/30/2024
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.464,,07/01/2023,06/30/2024
DE,HAI_3_SIR,SSI - Colon Surgery,1.049,,07/01/2023,06/30/2024
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.317,,07/01/2023,06/30/2024
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.409,,07/01/2023,06/30/2024
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.999,,07/01/2023,06/30/2024
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.372,,07/01/2023,06/30/2024
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.846,,07/01/2023,06/30/2024
DE,HAI_5_SIR,MRSA Bacteremia,0.573,,07/01/2023,06/30/2024
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.286,,07/01/2023,06/30/2024
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.439,,07/01/2023,06/30/2024
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.356,,07/01/2023,06/30/2024
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.496,,07/01/2023,06/30/2024
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.580,,07/01/2023,06/30/2024
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.537,,07/01/2023,06/30/2024
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.361,,07/01/2023,06/30/2024
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.429,,07/01/2023,06/30/2024
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.394,,07/01/2023,06/30/2024
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.645,,07/01/2023,06/30/2024
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.768,,07/01/2023,06/30/2024
FL,HAI_3_SIR,SSI - Colon Surgery,0.704,,07/01/2023,06/30/2024
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.724,,07/01/2023,06/30/2024
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.011,,07/01/2023,06/30/2024
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.859,,07/01/2023,06/30/2024
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.715,,07/01/2023,06/30/2024
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.835,,07/01/2023,06/30/2024
FL,HAI_5_SIR,MRSA Bacteremia,0.774,,07/01/2023,06/30/2024
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.250,,07/01/2023,06/30/2024
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.274,,07/01/2023,06/30/2024
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.262,,07/01/2023,06/30/2024
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.667,,07/01/2023,06/30/2024
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.797,,07/01/2023,06/30/2024
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.730,,07/01/2023,06/30/2024
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.516,,07/01/2023,06/30/2024
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.628,,07/01/2023,06/30/2024
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.570,,07/01/2023,06/30/2024
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.891,,07/01/2023,06/30/2024
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.114,,07/01/2023,06/30/2024
GA,HAI_3_SIR,SSI - Colon Surgery,0.998,,07/01/2023,06/30/2024
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.402,,07/01/2023,06/30/2024
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.910,,07/01/2023,06/30/2024
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.641,,07/01/2023,06/30/2024
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.734,,07/01/2023,06/30/2024
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.919,,07/01/2023,06/30/2024
GA,HAI_5_SIR,MRSA Bacteremia,0.822,,07/01/2023,06/30/2024
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.370,,07/01/2023,06/30/2024
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.417,,07/01/2023,06/30/2024
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.393,,07/01/2023,06/30/2024
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5.0,07/01/2023,06/30/2024
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5.0,07/01/2023,06/30/2024
