facility_name,facility_id,npi,citytown,state,zip_code,year,asc1_rate,asc1_footnote,asc2_rate,asc2_footnote,asc3_rate,asc3_footnote,asc4_rate,asc4_footnote,asc9_rate,asc9_footnote,asc11_rate,asc11_footnote,asc12_total_cases,asc12_performance_category,asc12_rshv_rate,asc12_interval_lower_limit,asc12_interval_upper_limit,asc12_footnote,asc13_rate,asc13_footnote,asc14_rate,asc14_footnote,asc17_total_cases,asc17_performance_category,asc17_rshv_rate,asc17_interval_lower_limit,asc17_interval_upper_limit,asc17_footnote,asc18_total_cases,asc18_performance_category,asc18_rshv_rate,asc18_interval_lower_limit,asc18_interval_upper_limit,asc18_footnote,asc19_total_cases,asc19_performance_category,asc19_rshv_rate,asc19_interval_lower_limit,asc19_interval_upper_limit,asc19_footnote,asc20_sample,asc20_rate,asc20_footnote
CITY PL SURGERY CENTER,26C0001033,1003110792,CREVE COUER,MO,63141.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,7860.0,2023,0.0,,0.0,,0.0,,0.0,,86.59,,0.0,,1056.0,No Different Than the National Rate,9.3,6.8,13.0,,0.0,,0.0,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NORTHERN NJ ENDOSCOPY CENTER LLC,31C0001270,1003116823,NEWTON,NJ,7860.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,0.0,,5.0
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010.0,2023,0.0,,0.03,,0.0,,0.03,,,5.0,,5.0,,,,,,5.0,100.0,,0.37,,491.0,No Different Than the National Rate,2.3,1.6,3.3,,,,,,,5.0,26.0,No Different than expected,0.9,0.5,1.8,,,,5.0
MOUNTAIN WEST SURGERY CENTER LLC,46C0001039,1003119470,BOUNTIFUL,UT,84010.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,140.0,0.0,
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018.0,2023,,5.0,0.06,,,5.0,0.06,,24.56,,,5.0,391.0,No Different Than the National Rate,10.3,7.2,14.6,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
MEMORIAL HERMANN ENDOSCOPY CENTER NORTH LOOP,45C0001363,1003127606,HOUSTON,TX,77018.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,30.0,93.3,
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627.0,2023,0.0,,0.0,,0.0,,0.05,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,39.0,No Different Than the National Rate,2.2,1.4,3.3,,121.0,No Different Than the National Rate,4.6,3.0,7.1,,169.0,No Different than expected,0.9,0.6,1.5,,,,5.0
NEWPORT PLAZA SURGERY CENTER,05C0001672,1003138736,COSTA MESA,CA,92627.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,35.0,1.0,
PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,45C0001569,1003166844,KILLEEN,TX,76542.0,2023,,5.0,,5.0,,5.0,0.04,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,69.0,No Different Than the National Rate,2.3,1.5,3.3,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
PSA AMBULATORY SURGERY CENTER OF KILLEEN LLC,45C0001569,1003166844,KILLEEN,TX,76542.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,23.0,100.0,
CANDESCENT EYE HEALTH SURGICENTER LLC,22C0001007,1003168907,DARTMOUTH,MA,2747.0,2023,,5.0,0.17,,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,0.34,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
CANDESCENT EYE HEALTH SURGICENTER LLC,22C0001007,1003168907,DARTMOUTH,MA,2747.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,32.0,12.5,
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202.0,2023,0.0,,0.02,,0.0,,0.1,,87.95,,,5.0,4118.0,No Different Than the National Rate,11.7,9.3,14.7,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
CENTRAL OHIO ENDOSCOPY CENTER LLC,36C0001284,1003220187,COLUMBUS,OH,43202.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,42.0,0.0,
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005.0,2023,,5.0,,5.0,,5.0,0.05,,97.92,,,5.0,1691.0,No Different Than the National Rate,10.3,7.6,14.0,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,44.0,No Different than expected,0.9,0.5,1.6,,,,5.0
NORTHWEST ENDO CENTER LLC,14C0001168,1003260498,ARLINGTON HEIGHTS,IL,60005.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,40.0,5.0,
PAIN CENTERS OF MINNESOTA CHASKA,24C0001090,1003272980,CHASKA,MN,55318.0,2023,0.0,,0.08,,0.0,,0.04,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
PAIN CENTERS OF MINNESOTA CHASKA,24C0001090,1003272980,CHASKA,MN,55318.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,43.0,0.0,
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085.0,2023,,5.0,,5.0,,5.0,0.02,,,5.0,,5.0,,,,,,5.0,,5.0,0.15,,43.0,No Different Than the National Rate,2.2,1.4,3.5,,,,,,,5.0,29.0,No Different than expected,1.0,0.5,1.8,,,,5.0
GREAT LAKES SURGERY CTR LLC,23C0001131,1003273129,ST JOSEPH,MI,49085.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,20.0,0.0,
CENTER FOR SOUTHSIDE SURGERY,15C0001199,1003292483,GREENWOOD,IN,46143.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
CENTER FOR SOUTHSIDE SURGERY,15C0001199,1003292483,GREENWOOD,IN,46143.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,26.0,0.0,
DESERT VISTA SURGICAL CENTER,03C0001439,1003332883,SCOTTSDALE,AZ,85258.0,2023,0.0,,0.0,,0.0,,0.02,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
DESERT VISTA SURGICAL CENTER,03C0001439,1003332883,SCOTTSDALE,AZ,85258.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,14.0,0.0,
NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,15C0001203,1003357377,MISHAWAKA,IN,19355.0,2023,,5.0,,5.0,,5.0,0.31,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
NEPHROLOGY PHYSICIANS LLC DBA AZURA SURGERY CENTER MICHIANA VASCULAR,15C0001203,1003357377,MISHAWAKA,IN,19355.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,11.0,0.0,
RIVERVIEW SURGICAL CENTER LLC,28C0001065,1003374711,SOUTH SIOUX CITY,NE,68776.0,2023,,5.0,0.02,,0.02,,0.08,,100.0,,,5.0,64.0,No Different Than the National Rate,10.1,6.8,14.5,,96.8,,0.3,,246.0,No Different Than the National Rate,2.1,1.4,3.2,,,,,,,5.0,36.0,No Different than expected,1.2,0.6,2.2,,,,5.0
RIVERVIEW SURGICAL CENTER LLC,28C0001065,1003374711,SOUTH SIOUX CITY,NE,68776.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,60.0,0.0,
ON BEACH SURGERY CENTER LLC,55C0001110,1003420001,BUENA PARK,CA,90621.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,,,,,5.0,,,5.0
ON BEACH SURGERY CENTER LLC,55C0001110,1003420001,BUENA PARK,CA,90621.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,29.0,96.6,
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211.0,2023,,5.0,,5.0,,5.0,,5.0,93.43,,,5.0,764.0,No Different Than the National Rate,9.5,6.9,12.8,,98.34,,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
BEVERLY HILLS ENDOSURGICAL CENTER LLC,05C0002277,1003437336,BEVERLY HILLS,CA,90211.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,51.0,0.0,
EYE CONSULTANTS FAYETTEVILLE SURGERY CENTER,11C0001554,1003547803,FAYETTEVILLE,GA,30214.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,0.39,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
EYE CONSULTANTS FAYETTEVILLE SURGERY CENTER,11C0001554,1003547803,FAYETTEVILLE,GA,30214.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,14.0,0.0,
CYPRESS AMBULATORY SURGERY CENTER LLC DBA CURRENCY CIR SURGERY CENTER,10C0001725,1003553645,LAKE MARY,FL,32746.0,2023,,5.0,,5.0,,5.0,0.0,,,1.0,,5.0,30.0,No Different Than the National Rate,9.8,6.6,14.3,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
CYPRESS AMBULATORY SURGERY CENTER LLC DBA CURRENCY CIR SURGERY CENTER,10C0001725,1003553645,LAKE MARY,FL,32746.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,91.0,0.0,
RENAL FOCUS ASC LLC DBA RENAL FOCUS ASC PLAINVIEW,33C0001208,1003575218,PLAINVIEW,NY,11803.0,2023,,5.0,0.03,,,5.0,0.17,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
RENAL FOCUS ASC LLC DBA RENAL FOCUS ASC PLAINVIEW,33C0001208,1003575218,PLAINVIEW,NY,11803.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,33.0,0.0,
LENOX SURGERY CENTER LLC,23C0001154,1003581794,LENOX,MI,48048.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,1.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
LENOX SURGERY CENTER LLC,23C0001154,1003581794,LENOX,MI,48048.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,36.0,0.0,
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308.0,2023,,5.0,,5.0,0.09,,0.09,,,5.0,,5.0,,,,,,5.0,,5.0,0.11,,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
MINNESOTA EYE INSTITUTE SURGERY CENTER LLC,24C0001043,1003802950,ALEXANDRIA,MN,56308.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,13.0,12.3,
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266.0,2023,,5.0,,5.0,,5.0,0.1,,,5.0,,5.0,,,,,,5.0,99.53,,,5.0,272.0,No Different Than the National Rate,2.2,1.4,3.2,,85.0,No Different Than the National Rate,5.3,3.4,8.0,,462.0,No Different than expected,1.5,1.0,2.2,,,,5.0
LAKEVIEW SURGERY CENTER,16C0001014,1003807835,WEST DES MOINES,IA,50266.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,245.0,0.4,
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792.0,2023,,5.0,,5.0,,5.0,0.13,,95.29,,,5.0,553.0,No Different Than the National Rate,10.5,7.6,14.5,,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,51.0,No Different than expected,1.1,0.6,2.0,,,,5.0
UNIVERSITY SURGERY CENTER LTD,10C0001203,1003813221,WINTER PARK,FL,32792.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,105.0,1.3,
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301.0,2023,0.0,,0.02,,0.0,,0.09,,93.75,,,5.0,1260.0,No Different Than the National Rate,9.5,7.1,13.0,,98.96,,0.0,,372.0,No Different Than the National Rate,1.9,1.3,2.9,,,,,,,5.0,78.0,No Different than expected,1.0,0.5,1.8,,,,5.0
DOTHAN SURGERY CENTER LLC,01C0001039,1003815242,DOTHAN,AL,36301.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,98.0,0.0,
SAGAMORE SURGICAL SERVICES INC,15C0001041,1003816307,LAFAYETTE,IN,47909.0,2023,0.0,,0.0,,0.0,,0.29,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
SAGAMORE SURGICAL SERVICES INC,15C0001041,1003816307,LAFAYETTE,IN,47909.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,18.0,0.0,
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325.0,2023,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,1.0,,5.0,,Number of Cases Too Small,,,,1.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
NORTHRIDGE FACIAL PLASTIC SURGERY MEDICAL GROUP,05C0001366,1003824434,NORTHRIDGE,CA,91325.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,6.0,,1.0
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
SUMMIT SURGERY CENTER LLC,19C0001097,1003842527,COVINGTON,LA,70433.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,18.0,0.0,
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047.0,2023,,5.0,,5.0,,5.0,0.1,,84.05,,,5.0,564.0,No Different Than the National Rate,11.6,8.2,16.0,,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,,,5.0
AMBULATORY CENTER FOR ENDOSCOPY LLC,31C0001203,1003842626,NORTH BERGEN,NJ,7047.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,19.0,7.3,
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411.0,2023,0.0,,0.06,,0.03,,0.11,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,171.0,No Different Than the National Rate,2.1,1.4,3.2,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
WESTSIDE OUTPATIENT CENTER LLC,10C0001355,1003847500,ROYAL PALM BEACH,FL,33411.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,60.0,5.0,
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910.0,2023,0.0,,0.0,,0.0,,0.0,,,5.0,,5.0,,,,,,5.0,100.0,,0.54,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
SILVER SPRING OPHTHALMOLOGY LLC,21C0001177,1003853136,SILVER SPRING,MD,20910.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,32.0,100.0,
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906.0,2023,,5.0,0.03,,,5.0,0.03,,,5.0,,5.0,,,,,,5.0,,5.0,0.03,,,,,,,5.0,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
OHIO EYE ASSOCIATES INC,36C0001024,1003855594,MANSFIELD,OH,44906.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,120.0,0.0,
SURGERY CENTER OF PINEHURST,34C0001114,1003860917,PINEHURST,NC,28374.0,2023,0.0,,0.0,,0.01,,0.07,,,5.0,,5.0,,,,,,5.0,93.75,,0.26,,484.0,No Different Than the National Rate,1.8,1.2,2.7,,244.0,No Different Than the National Rate,6.1,4.3,8.5,,253.0,No Different than expected,0.8,0.5,1.4,,,,5.0
SURGERY CENTER OF PINEHURST,34C0001114,1003860917,PINEHURST,NC,28374.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,212.0,59.1,
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412.0,2023,,5.0,,5.0,,5.0,0.06,,,5.0,,5.0,,,,,,5.0,,5.0,0.13,,36.0,No Different Than the National Rate,2.2,1.4,3.5,,,,,,,5.0,73.0,No Different than expected,1.0,0.5,1.8,,,,5.0
PHYSICIANS SURGERY CENTER OF CHATTANOOGA LLC DBA PHYSICIANS SURGERY CENTER OF CHATTANOOGA,44C0001060,1003861998,CHATTANOOGA,TN,37412.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,99.0,0.0,
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703.0,2023,,5.0,,5.0,0.04,,0.08,,,5.0,,5.0,,,,,,5.0,100.0,,,5.0,305.0,No Different Than the National Rate,2.0,1.3,3.0,,,,,,,5.0,,Number of Cases Too Small,,,,1.0,,,5.0
PINELLAS SURGERY CENTER LTD DBA CENTER FOR SPECIAL SURGERY,10C0001250,1003870825,SAINT PETERSBURG,FL,33703.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,46.0,0.0,
MEMPHIS SURGERY CENTER,44C0001004,1003871104,MEMPHIS,TN,38119.0,2023,0.0,,0.04,,0.0,,0.09,,,5.0,,5.0,,,,,,5.0,100.0,,0.08,,80.0,No Different Than the National Rate,2.3,1.4,3.5,,,,,,,5.0,106.0,No Different than expected,1.0,0.6,1.8,,,,5.0
MEMPHIS SURGERY CENTER,44C0001004,1003871104,MEMPHIS,TN,38119.0,2024_Q2,,5.0,,5.0,,5.0,,5.0,,5.0,,5.0,,,,,,5.0,,5.0,,5.0,,,,,,5.0,,,,,,5.0,,,,,,5.0,129.0,57.2,
