state,condition,measure_id,measure_name,score,footnote,start_date,end_date
AL,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,6,,04/01/2024,06/30/2024
AL,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,76,,10/01/2023,03/31/2024
AL,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,144,"25, 26",07/01/2023,06/30/2024
AL,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),169,"25, 26",07/01/2023,06/30/2024
AL,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),118,"25, 26",07/01/2023,06/30/2024
AL,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),171,"25, 26",07/01/2023,06/30/2024
AL,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),192,"25, 26",07/01/2023,06/30/2024
AL,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,223,25,07/01/2023,06/30/2024
AL,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),245,25,07/01/2023,06/30/2024
AL,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),183,25,07/01/2023,06/30/2024
AL,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),241,25,07/01/2023,06/30/2024
AL,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),315,25,07/01/2023,06/30/2024
AL,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3,"25, 26",01/01/2023,12/31/2023
AL,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,66,25,07/01/2023,06/30/2024
AL,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,93,"25, 26",01/01/2023,12/31/2023
AL,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,100,,01/01/2023,12/31/2023
AL,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,14,,01/01/2023,12/31/2023
AL,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,61,"25, 26",07/01/2023,06/30/2024
AL,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,70,"25, 26",07/01/2023,06/30/2024
AL,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,85,"25, 26",07/01/2023,06/30/2024
AL,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,80,"25, 26",07/01/2023,06/30/2024
AL,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,91,"25, 26",07/01/2023,06/30/2024
AR,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,1.4,,04/01/2024,06/30/2024
AR,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,81,,10/01/2023,03/31/2024
AR,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,134,"25, 26",07/01/2023,06/30/2024
AR,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),167,"25, 26",07/01/2023,06/30/2024
AR,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),115,"25, 26",07/01/2023,06/30/2024
AR,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),151,"25, 26",07/01/2023,06/30/2024
AR,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206,"25, 26",07/01/2023,06/30/2024
AR,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,205,25,07/01/2023,06/30/2024
AR,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),237,25,07/01/2023,06/30/2024
AR,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),176,25,07/01/2023,06/30/2024
AR,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),221,25,07/01/2023,06/30/2024
AR,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),221,25,07/01/2023,06/30/2024
AR,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
AR,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,74,25,07/01/2023,06/30/2024
AR,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,92,"25, 26",01/01/2023,12/31/2023
AR,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
AR,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,16,,01/01/2023,12/31/2023
AR,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,66,"25, 26",07/01/2023,06/30/2024
AR,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,78,"25, 26",07/01/2023,06/30/2024
AR,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,87,"25, 26",07/01/2023,06/30/2024
AR,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,82,"25, 26",07/01/2023,06/30/2024
AR,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,90,"25, 26",07/01/2023,06/30/2024
AS,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,Not Available,5,04/01/2024,06/30/2024
AS,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,Not Available,5,10/01/2023,03/31/2024
AS,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),Not Available,5,07/01/2023,06/30/2024
AS,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,Not Available,5,01/01/2023,12/31/2023
AS,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,Not Available,5,07/01/2023,06/30/2024
AS,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
AS,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
AS,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,Not Available,5,01/01/2023,12/31/2023
AS,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,Not Available,5,07/01/2023,06/30/2024
AS,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,Not Available,5,07/01/2023,06/30/2024
AS,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,Not Available,5,07/01/2023,06/30/2024
AS,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,Not Available,5,07/01/2023,06/30/2024
AS,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,Not Available,5,07/01/2023,06/30/2024
AZ,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,16,,04/01/2024,06/30/2024
AZ,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,,10/01/2023,03/31/2024
AZ,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,180,"25, 26",07/01/2023,06/30/2024
AZ,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),202,"25, 26",07/01/2023,06/30/2024
AZ,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),126,"25, 26",07/01/2023,06/30/2024
AZ,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),177,"25, 26",07/01/2023,06/30/2024
AZ,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),198,"25, 26",07/01/2023,06/30/2024
AZ,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,264,25,07/01/2023,06/30/2024
AZ,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),267,25,07/01/2023,06/30/2024
AZ,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),208,25,07/01/2023,06/30/2024
AZ,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),247,25,07/01/2023,06/30/2024
AZ,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),341,25,07/01/2023,06/30/2024
AZ,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3,"25, 26",01/01/2023,12/31/2023
AZ,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,69,25,07/01/2023,06/30/2024
AZ,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91,"25, 26",01/01/2023,12/31/2023
AZ,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
AZ,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,11,,01/01/2023,12/31/2023
AZ,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,53,"25, 26",07/01/2023,06/30/2024
AZ,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,60,"25, 26",07/01/2023,06/30/2024
AZ,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,76,"25, 26",07/01/2023,06/30/2024
AZ,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,75,"25, 26",07/01/2023,06/30/2024
AZ,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,87,"25, 26",07/01/2023,06/30/2024
CA,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,20.1,,04/01/2024,06/30/2024
CA,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,73,,10/01/2023,03/31/2024
CA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,184,"25, 26",07/01/2023,06/30/2024
CA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),193,"25, 26",07/01/2023,06/30/2024
CA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),149,"25, 26",07/01/2023,06/30/2024
CA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),166,"25, 26",07/01/2023,06/30/2024
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206,"25, 26",07/01/2023,06/30/2024
CA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,271,25,07/01/2023,06/30/2024
CA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),297,25,07/01/2023,06/30/2024
CA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),245,25,07/01/2023,06/30/2024
CA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),255,25,07/01/2023,06/30/2024
CA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),286,25,07/01/2023,06/30/2024
CA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
CA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,73,25,07/01/2023,06/30/2024
CA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91,"25, 26",01/01/2023,12/31/2023
CA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
CA,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,14,,01/01/2023,12/31/2023
CA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,67,"25, 26",07/01/2023,06/30/2024
CA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,75,"25, 26",07/01/2023,06/30/2024
CA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,88,"25, 26",07/01/2023,06/30/2024
CA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,83,"25, 26",07/01/2023,06/30/2024
CA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,93,"25, 26",07/01/2023,06/30/2024
CO,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,14.2,,04/01/2024,06/30/2024
CO,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,92,,10/01/2023,03/31/2024
CO,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,132,"25, 26",07/01/2023,06/30/2024
CO,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),137,"25, 26",07/01/2023,06/30/2024
CO,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),122,"25, 26",07/01/2023,06/30/2024
CO,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),154,"25, 26",07/01/2023,06/30/2024
CO,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),159,"25, 26",07/01/2023,06/30/2024
CO,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,240,25,07/01/2023,06/30/2024
CO,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),266,25,07/01/2023,06/30/2024
CO,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),220,25,07/01/2023,06/30/2024
CO,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),289,25,07/01/2023,06/30/2024
CO,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),257,25,07/01/2023,06/30/2024
CO,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1,"25, 26",01/01/2023,12/31/2023
CO,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,69,25,07/01/2023,06/30/2024
CO,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,95,"25, 26",01/01/2023,12/31/2023
CO,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
CO,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,15,,01/01/2023,12/31/2023
CO,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,74,"25, 26",07/01/2023,06/30/2024
CO,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,81,"25, 26",07/01/2023,06/30/2024
CO,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,89,"25, 26",07/01/2023,06/30/2024
CO,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,87,"25, 26",07/01/2023,06/30/2024
CO,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,95,"25, 26",07/01/2023,06/30/2024
CT,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,12.8,,04/01/2024,06/30/2024
CT,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,,10/01/2023,03/31/2024
CT,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,197,"25, 26",07/01/2023,06/30/2024
CT,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),207,"25, 26",07/01/2023,06/30/2024
CT,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),167,"25, 26",07/01/2023,06/30/2024
CT,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),210,"25, 26",07/01/2023,06/30/2024
CT,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),194,"25, 26",07/01/2023,06/30/2024
CT,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,258,25,07/01/2023,06/30/2024
CT,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),269,25,07/01/2023,06/30/2024
CT,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),424,25,07/01/2023,06/30/2024
CT,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),260,25,07/01/2023,06/30/2024
CT,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),228,25,07/01/2023,06/30/2024
CT,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",01/01/2023,12/31/2023
CT,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,73,25,07/01/2023,06/30/2024
CT,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,96,"25, 26",01/01/2023,12/31/2023
CT,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,Not Available,5,01/01/2023,12/31/2023
CT,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,18,,01/01/2023,12/31/2023
CT,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,58,"25, 26",07/01/2023,06/30/2024
CT,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,65,"25, 26",07/01/2023,06/30/2024
CT,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,84,"25, 26",07/01/2023,06/30/2024
CT,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,78,"25, 26",07/01/2023,06/30/2024
CT,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92,"25, 26",07/01/2023,06/30/2024
DC,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,5.7,,04/01/2024,06/30/2024
DC,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,94,,10/01/2023,03/31/2024
