state,measure_id,measure_name,number_of_hospitals_worse,number_of_hospitals_same,number_of_hospitals_better,number_of_hospitals_too_few,footnote,start_date,end_date,number_of_hospitals_fewer,number_of_hospitals_average,number_of_hospitals_more,number_of_hospitals_too_small
AS,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5.0,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5.0,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,3,33,2,21
AZ,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,47,8,18
AZ,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,4,46,13,18
AZ,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,52,0,8,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,20,1,37,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,20,2,37,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,8,46,3,6,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,39,0,20,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_CABG,Rate of readmission for CABG,0,20,0,3,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,48,0,29,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,56,0,18,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,25,2,30,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,75,1,7,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
AZ,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,63,0,18,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,15,97,24,158
CA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,19,200,42,57
CA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,16,171,84,50
CA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,203,2,61,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,8,92,1,123,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,98,2,123,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,23,159,20,98,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,152,0,142,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_CABG,Rate of readmission for CABG,0,84,0,36,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,207,0,109,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,5,255,1,57,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,146,4,105,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),14,290,12,9,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,12,258,1,50,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,6,19,0,38
CO,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,11,37,0,33
CO,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,12,46,1,23
CO,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,57,0,10,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,30,2,36,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,32,0,36,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,10,42,4,15,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,30,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_CABG,Rate of readmission for CABG,0,13,0,3,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,38,0,44,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,47,1,33,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,35,0,33,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,73,6,5,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CO,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,59,0,23,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,1,9,4,11
CT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,2,17,7,2
CT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,16,10,1
CT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,26,0,0,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,17,0,7,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,16,2,7,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,17,6,0,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,17,0,8,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_CABG,Rate of readmission for CABG,0,8,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,26,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,23,1,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,16,1,9,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),2,25,0,1,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
CT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,25,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,3,0,4
DC,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,1,3,3,0
DC,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,4,3,0
DC,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,4,0,1,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,4,0,1,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,4,0,1,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,5,0,2,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,6,1,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,5,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,6,1,0,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DC,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,3,1,3
DE,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,6,1,0
DE,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,6,1,0
DE,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,6,0,0,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,4,1,0,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,5,0,0,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,4,2,0,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,6,0,1,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,7,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,3,0,3,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,6,1,0,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
DE,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,7,0,0,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,8,100,16,55
FL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,7,119,45,14
FL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,12,104,63,10
FL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,151,0,27,,01/01/2021,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,41,0,103,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,41,2,103,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,38,100,22,22,,01/01/2023,12/31/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,135,0,42,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_CABG,Rate of readmission for CABG,1,65,1,12,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,166,1,18,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,9,159,3,14,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,111,0,54,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),37,140,3,5,,07/01/2022,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
FL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,5,172,2,10,,07/01/2020,06/30/2023,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,0,47,6,46
GA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,3,64,21,41
GA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2020,06/30/2023,6,73,25,28
