state,patients_who_reported_that_staff_definitely_gave_care_in_a_professional_way_and_the_facility_was_clean,patients_who_reported_that_staff_somewhat_gave_care_in_a_professional_way_or_the_facility_was_somewhat_clean,patients_who_reported_that_staff_did_not_give_care_in_a_professional_way_or_the_facility_was_not_clean,facilities_and_staff_linear_mean_score,patients_who_reported_that_staff_definitely_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_somewhat_communicated_about_what_to_expect_during_and_after_the_procedure,patients_who_reported_that_staff_did_not_communicate_about_what_to_expect_during_and_after_the_procedure,communication_about_your_procedure_linear_mean_score,patients_who_gave_the_facility_a_rating_of_9_or_10_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_7_or_8_on_a_scale_from_0_lowest_to_10_highest,patients_who_gave_the_facility_a_rating_of_0_to_6_on_a_scale_from_0_lowest_to_10_highest,patients_rating_of_the_facility_linear_mean_score,patients_who_reported_yes_they_would_definitely_recommend_the_facility_to_family_or_friends,patients_who_reported_probably_yes_they_would_recommend_the_facility_to_family_or_friends,patients_who_reported_no_they_would_not_recommend_the_facility_to_family_or_friends,patients_recommending_the_facility_linear_mean_score,number_of_sampled_patients,number_of_completed_surveys,survey_response_rate_percent,start_date,end_date
Illinois,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,87.0,11.0,2.0,94.0,82.0,16.0,2.0,93.0,97923.0,22106.0,23.0,07/01/2023,06/30/2024
Indiana,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,87.0,11.0,2.0,95.0,82.0,16.0,2.0,93.0,21298.0,5758.0,27.0,07/01/2023,06/30/2024
Iowa,97.0,3.0,0.0,99.0,93.0,6.0,1.0,96.0,86.0,12.0,2.0,94.0,82.0,16.0,2.0,93.0,23906.0,7090.0,30.0,07/01/2023,06/30/2024
Kansas,97.0,3.0,0.0,99.0,92.0,7.0,1.0,95.0,85.0,13.0,2.0,94.0,81.0,17.0,2.0,93.0,31397.0,7925.0,25.0,07/01/2023,06/30/2024
Kentucky,97.0,2.0,1.0,98.0,92.0,6.0,2.0,95.0,83.0,14.0,3.0,93.0,79.0,19.0,2.0,92.0,66170.0,14590.0,23.0,07/01/2023,06/30/2024
Louisiana,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,90.0,8.0,2.0,96.0,88.0,10.0,2.0,95.0,34454.0,7756.0,23.0,07/01/2023,06/30/2024
Maine,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,85.0,13.0,2.0,94.0,82.0,16.0,2.0,93.0,34531.0,9833.0,28.0,07/01/2023,06/30/2024
Maryland,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,85.0,12.0,3.0,94.0,82.0,15.0,3.0,92.0,43432.0,9954.0,23.0,07/01/2023,06/30/2024
Massachusetts,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,85.0,12.0,3.0,94.0,82.0,16.0,2.0,93.0,39842.0,9540.0,24.0,07/01/2023,06/30/2024
Michigan,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,85.0,12.0,3.0,93.0,79.0,18.0,3.0,92.0,66718.0,16380.0,25.0,07/01/2023,06/30/2024
Minnesota,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,87.0,11.0,2.0,94.0,82.0,16.0,2.0,93.0,28841.0,7709.0,27.0,07/01/2023,06/30/2024
Mississippi,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,85.0,12.0,3.0,94.0,83.0,15.0,2.0,93.0,27782.0,5758.0,21.0,07/01/2023,06/30/2024
Missouri,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,85.0,12.0,3.0,94.0,80.0,18.0,2.0,92.0,36215.0,8218.0,23.0,07/01/2023,06/30/2024
Montana,97.0,3.0,0.0,99.0,92.0,6.0,2.0,96.0,84.0,14.0,2.0,93.0,80.0,18.0,2.0,93.0,30126.0,7768.0,26.0,07/01/2023,06/30/2024
Nebraska,97.0,3.0,0.0,99.0,92.0,7.0,1.0,95.0,86.0,12.0,2.0,94.0,81.0,17.0,2.0,93.0,13779.0,3975.0,30.0,07/01/2023,06/30/2024
Nevada,95.0,4.0,1.0,97.0,89.0,9.0,2.0,93.0,82.0,15.0,3.0,93.0,79.0,17.0,4.0,91.0,24726.0,5372.0,22.0,07/01/2023,06/30/2024
New Hampshire,98.0,2.0,0.0,99.0,94.0,5.0,1.0,97.0,88.0,10.0,2.0,95.0,85.0,13.0,2.0,94.0,23038.0,6935.0,30.0,07/01/2023,06/30/2024
New Jersey,97.0,3.0,0.0,98.0,90.0,8.0,2.0,94.0,85.0,12.0,3.0,94.0,81.0,16.0,3.0,92.0,62000.0,12825.0,21.0,07/01/2023,06/30/2024
New Mexico,96.0,4.0,0.0,98.0,92.0,7.0,1.0,95.0,84.0,14.0,2.0,94.0,80.0,18.0,2.0,92.0,39146.0,8290.0,22.0,07/01/2023,06/30/2024
New York,96.0,4.0,0.0,98.0,91.0,7.0,2.0,95.0,84.0,13.0,3.0,93.0,80.0,17.0,3.0,92.0,163140.0,37195.0,23.0,07/01/2023,06/30/2024
North Carolina,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,86.0,12.0,2.0,94.0,81.0,16.0,3.0,92.0,103321.0,26700.0,26.0,07/01/2023,06/30/2024
North Dakota,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,84.0,13.0,3.0,93.0,76.0,23.0,1.0,92.0,11865.0,3328.0,28.0,07/01/2023,06/30/2024
Ohio,98.0,2.0,0.0,99.0,92.0,7.0,1.0,96.0,88.0,10.0,2.0,95.0,83.0,15.0,2.0,93.0,162688.0,37977.0,24.0,07/01/2023,06/30/2024
Oklahoma,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,86.0,11.0,3.0,94.0,84.0,14.0,2.0,94.0,48506.0,11817.0,25.0,07/01/2023,06/30/2024
Oregon,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,85.0,12.0,3.0,94.0,82.0,16.0,2.0,93.0,23650.0,5878.0,25.0,07/01/2023,06/30/2024
Pennsylvania,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,88.0,10.0,2.0,95.0,84.0,14.0,2.0,94.0,82444.0,25664.0,31.0,07/01/2023,06/30/2024
Puerto Rico,,,,,,,,,,,,,,,,,,,,,
Rhode Island,98.0,2.0,0.0,99.0,92.0,6.0,2.0,95.0,88.0,10.0,2.0,95.0,86.0,12.0,2.0,95.0,16574.0,3962.0,24.0,07/01/2023,06/30/2024
South Carolina,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,85.0,12.0,3.0,94.0,80.0,17.0,3.0,92.0,39465.0,8737.0,22.0,07/01/2023,06/30/2024
South Dakota,98.0,2.0,0.0,99.0,92.0,7.0,1.0,95.0,85.0,13.0,2.0,94.0,84.0,15.0,1.0,94.0,18550.0,3113.0,17.0,07/01/2023,06/30/2024
Tennessee,96.0,4.0,0.0,98.0,92.0,6.0,2.0,95.0,84.0,13.0,3.0,93.0,81.0,17.0,2.0,92.0,81849.0,17370.0,22.0,07/01/2023,06/30/2024
Texas,97.0,3.0,0.0,98.0,92.0,6.0,2.0,95.0,88.0,10.0,2.0,95.0,84.0,14.0,2.0,94.0,141324.0,28039.0,20.0,07/01/2023,06/30/2024
Utah,97.0,3.0,0.0,98.0,92.0,7.0,1.0,95.0,88.0,10.0,2.0,95.0,85.0,13.0,2.0,94.0,82582.0,14218.0,20.0,07/01/2023,06/30/2024
Vermont,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,86.0,12.0,2.0,94.0,85.0,13.0,2.0,94.0,17486.0,4904.0,28.0,07/01/2023,06/30/2024
Virgin Islands,,,,,,,,,,,,,,,,,,,,,
Virginia,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,86.0,12.0,2.0,94.0,82.0,16.0,2.0,93.0,83702.0,19767.0,24.0,07/01/2023,06/30/2024
Washington,97.0,3.0,0.0,98.0,93.0,6.0,1.0,96.0,85.0,13.0,2.0,94.0,81.0,17.0,2.0,93.0,74290.0,16345.0,22.0,07/01/2023,06/30/2024
West Virginia,97.0,3.0,0.0,98.0,92.0,7.0,1.0,96.0,83.0,14.0,3.0,93.0,79.0,19.0,2.0,92.0,43386.0,10542.0,25.0,07/01/2023,06/30/2024
Wisconsin,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,88.0,10.0,2.0,95.0,84.0,15.0,1.0,94.0,70972.0,22797.0,33.0,07/01/2023,06/30/2024
Wyoming,98.0,2.0,0.0,99.0,93.0,6.0,1.0,96.0,84.0,14.0,2.0,94.0,79.0,20.0,1.0,92.0,5684.0,1195.0,23.0,07/01/2023,06/30/2024
